time,tmp
1671632472.244,35.594
1671632482.093,35.594
1671632492.087,35.594
1671632502.13,35.594
1671632512.153,35.594
1671632522.264,35.594
1671632532.112,35.594
1671632542.257,35.594
1671632672.152,35.594
1671632682.182,35.594
1671632692.142,35.594
1671632702.183,35.594
1671632712.175,35.594
1671632722.168,35.594
1671632732.162,35.594
1671632742.155,35.594
1671632752.156,35.594
1671632762.192,35.594
1671632772.19,35.594
1671632782.181,35.594
1671632792.172,35.594
1671632802.25,35.594
1671632812.162,35.594
1671632822.202,35.594
1671632832.39,35.594
1671632842.338,35.594
1671632852.183,35.594
1671632862.177,35.594
1671632872.219,35.594
1671632882.213,35.594
1671632892.207,35.594
1671632902.203,35.594
1671632912.281,35.594
1671632922.192,35.594
1671632932.328,35.594
1671632942.224,35.594
1671632952.375,35.594
1671632962.214,35.594
1671632972.355,35.594
1671632982.446,35.594
1671632992.242,35.594
1671633002.244,35.594
1671633012.23,35.594
1671633022.321,35.594
1671633032.421,35.594
1671633042.223,35.594
1671633052.254,35.594
1671633062.248,35.594
1671633072.242,35.594
1671633082.236,35.594
1671633092.525,35.594
1671633102.224,35.594
1671633112.267,35.594
1671633122.261,35.594
1671633132.293,35.594
1671633142.248,35.594
1671633152.242,35.594
1671633162.44,35.594
1671633172.231,35.594
1671633182.519,35.594
1671633192.272,35.594
1671633202.266,35.594
1671633212.501,35.594
1671633222.249,35.594
1671633232.242,35.594
1671633242.285,35.594
1671633252.279,35.594
1671633262.273,35.594
1671633272.267,35.594
1671633282.261,35.594
1671633292.55,35.594
1671633302.298,35.594
1671633312.295,35.594
1671633322.286,35.594
1671633332.28,35.594
1671633342.422,35.594
1671633352.316,35.594
1671633362.311,35.594
1671633372.304,35.594
1671633382.298,35.594
1671633392.292,35.594
1671633402.286,35.594
1671633412.377,35.594
1671633422.323,35.594
1671633432.355,35.594
1671633442.362,35.594
1671633452.502,35.594
1671633462.311,35.594
1671633472.738,35.594
1671633482.336,35.594
1671633492.33,35.594
1671633502.481,35.594
1671633622.361,35.594
1671633632.406,35.594
1671633642.43,35.594
1671633652.392,35.594
1671633662.39,35.594
1671633672.38,35.594
1671633682.374,35.594
1671633692.368,35.594
1671633702.411,35.594
1671633712.405,35.594
1671633722.454,35.594
1671633732.393,35.594
1671633742.387,35.594
1671633752.381,35.594
1671633762.423,35.594
1671633772.417,35.594
1671633782.411,35.594
1671633792.405,35.594
1671633802.399,35.594
1671633812.48,35.594
1671633822.436,35.594
