time,tmp
1673965235.0,24.85
1673965295.0,29.37
1673965355.0,30.84
1673965416.0,31.67
1673965476.0,32.26
1673965536.0,32.77
1673965596.0,33.19
1673965656.0,33.52
1673965716.0,33.8
1673965776.0,34.03
1673965836.0,34.26
1673965896.0,34.44
1673965956.0,34.61
1673966016.0,34.76
1673966076.0,34.88
1673966136.0,35.0
1673966196.0,35.1
1673966256.0,35.21
1673966316.0,35.3
1673966376.0,35.39
1673966436.0,35.47
1673966496.0,35.54
1673966556.0,35.61
1673966616.0,35.67
1673966676.0,35.72
1673966736.0,35.78
1673966796.0,35.82
1673966856.0,35.86
1673966916.0,35.9
1673966976.0,35.94
1673967036.0,35.98
1673967096.0,36.0
1673967156.0,36.02
1673967216.0,36.05
1673967276.0,36.07
1673967336.0,36.1
1673967396.0,36.13
1673967456.0,36.16
1673967516.0,36.19
1673967576.0,36.23
1673967636.0,36.27
1673967696.0,36.31
1673967756.0,36.34
1673967816.0,36.35
