time,tmp
1678107263.0,27.8
1678107323.0,30.09
1678107383.0,30.84
1678107443.0,31.38
1678107503.0,31.82
1678107563.0,32.19
1678107623.0,32.48
1678107683.0,32.71
1678107743.0,32.9
1678107803.0,33.06
1678107863.0,33.19
1678107923.0,33.29
1678107983.0,33.38
1678108043.0,33.45
1678108103.0,33.51
1678108163.0,33.57
1678108223.0,33.63
1678108283.0,33.68
1678108343.0,33.73
1678108403.0,33.78
1678108463.0,33.83
1678108523.0,33.87
1678108583.0,33.9
1678108643.0,33.92
1678108703.0,33.95
1678108763.0,33.97
1678108823.0,33.99
1678108883.0,34.0
1678108943.0,34.0
1678109003.0,34.02
1678109063.0,34.03
1678109123.0,34.05
1678109183.0,34.08
1678109243.0,34.13
1678109303.0,34.17
1678109363.0,34.22
1678109423.0,34.26
1678109483.0,34.3
1678109543.0,34.32
1678109603.0,34.37
1678109663.0,34.42
1678109723.0,34.48
1678109783.0,34.53
1678109843.0,34.57
1678109903.0,34.6
1678109963.0,34.63
1678110023.0,34.65
1678110083.0,34.66
