time,tmp
1671632465.273,24.281
1671632466.297,24.281
1671632467.467,24.281
1671632468.34,24.266
1671632469.322,24.266
1671632470.335,24.266
1671632471.27,24.266
1671632472.32,24.266
1671632473.269,24.266
1671632474.303,24.266
1671632475.267,24.266
1671632476.291,24.266
1671632477.315,24.266
1671632478.29,24.266
1671632479.265,24.266
1671632480.292,24.266
1671632481.275,24.281
1671632482.288,24.266
1671632483.287,24.266
1671632484.286,24.266
1671632485.3,24.266
1671632486.285,24.266
1671632487.308,24.281
1671632488.319,24.266
1671632489.259,24.281
1671632490.282,24.266
1671632491.304,24.266
1671632492.379,24.266
1671632493.294,24.266
1671632494.378,24.266
1671632495.277,24.266
1671632496.279,24.266
1671632497.254,24.266
1671632498.278,24.266
1671632499.285,24.266
1671632500.287,24.266
1671632501.301,24.266
1671632502.276,24.266
1671632503.299,24.266
1671632504.299,24.266
1671632505.298,24.266
1671632506.423,24.266
1671632507.312,24.266
1671632508.272,24.266
1671632509.296,24.266
1671632510.274,24.266
1671632511.323,24.266
1671632512.275,24.266
1671632513.294,24.266
1671632514.34,24.266
1671632515.49,24.266
1671632516.367,24.266
1671632517.291,24.266
1671632518.266,24.266
1671632519.29,24.281
1671632520.313,24.266
1671632521.289,24.281
1671632522.27,24.281
1671632523.287,24.266
1671632524.263,24.266
1671632525.335,24.266
1671632526.291,24.266
1671632527.323,24.266
1671632528.427,24.266
1671632529.284,24.266
1671632530.283,24.266
1671632531.287,24.266
1671632532.258,24.266
1671632533.315,24.266
1671632534.415,24.266
1671632535.314,24.266
1671632536.263,24.266
1671632537.291,24.266
1671632538.254,24.266
1671632539.278,24.266
1671632540.275,24.266
1671632541.405,24.266
1671632542.341,24.266
1671632543.373,24.266
1671632544.299,24.266
1671632545.275,24.266
1671632546.324,24.266
1671632547.308,24.266
1671632548.404,24.266
1671632549.312,24.266
1671632550.296,24.266
1671632551.295,24.266
1671632669.13,32.281
1671632670.056,32.281
1671632671.082,32.281
1671632672.055,32.375
1671632673.03,32.375
1671632674.15,32.469
1671632675.077,32.406
1671632676.052,32.406
1671632677.271,32.5
1671632678.051,32.375
1671632679.026,32.406
1671632680.049,32.406
1671632681.219,32.438
1671632682.048,32.438
1671632683.269,32.469
1671632684.048,32.5
1671632685.022,32.5
1671632686.097,32.531
1671632687.218,32.562
1671632688.044,32.594
1671632689.068,32.594
1671632690.043,32.625
1671632691.018,32.656
1671632692.042,32.688
1671632693.017,32.688
1671632694.041,32.719
1671632695.064,32.75
1671632696.233,32.781
1671632697.014,32.812
1671632698.051,32.844
1671632699.062,32.875
1671632700.036,32.906
1671632701.06,32.938
1671632702.181,32.938
1671632703.059,32.969
1671632704.329,33.0
1671632705.058,33.031
1671632706.032,33.031
1671632707.056,33.062
1671632708.072,33.062
1671632709.103,33.094
1671632710.069,33.094
1671632711.054,33.125
1671632712.029,33.156
1671632713.102,33.156
1671632714.027,33.188
1671632715.051,33.188
1671632716.175,33.219
1671632717.05,33.219
1671632718.025,33.25
1671632719.069,33.25
1671632720.072,33.281
1671632721.047,33.281
1671632722.073,33.312
1671632723.28,33.312
1671632724.021,33.312
1671632725.141,33.312
1671632726.214,33.344
1671632727.043,33.344
1671632728.118,33.344
1671632729.043,33.375
1671632730.114,33.375
1671632731.079,33.375
1671632732.016,33.375
1671632733.039,33.406
1671632734.163,33.406
1671632735.038,33.438
1671632736.013,33.469
1671632737.076,33.5
1671632738.036,33.5
1671632739.036,33.531
1671632740.074,33.531
1671632741.038,33.562
1671632742.058,33.562
1671632743.071,33.562
1671632744.057,33.594
1671632745.032,33.594
1671632746.093,33.625
1671632747.031,33.625
1671632748.102,33.625
1671632749.067,33.594
1671632750.052,33.594
1671632751.028,33.594
1671632752.052,33.625
1671632753.221,33.625
1671632754.137,33.625
1671632755.079,33.625
1671632756.049,33.625
1671632757.073,33.625
1671632758.082,33.625
