time,tmp
1678107247.121,25.516
1678107248.096,25.516
1678107249.12,25.516
1678107250.096,25.516
1678107251.169,25.516
1678107252.094,25.531
1678107253.118,25.531
1678107254.093,25.547
1678107255.116,25.547
1678107256.092,25.547
1678107257.116,25.547
1678107258.133,25.562
1678107259.114,25.562
1678107260.089,25.562
1678107261.408,25.562
1678107262.088,25.578
1678107263.112,25.578
1678107264.382,25.578
1678107265.112,25.594
1678107266.086,25.594
1678107267.11,25.594
1678107268.105,25.594
1678107269.108,25.609
1678107270.158,25.609
1678107271.107,25.625
1678107272.475,25.625
1678107273.155,25.625
1678107274.131,25.625
1678107275.105,25.625
1678107276.129,25.641
1678107277.104,25.641
1678107278.128,25.641
1678107279.203,25.656
1678107280.126,25.656
1678107281.101,25.656
1678107282.172,25.656
1678107283.1,25.656
1678107284.124,25.656
1678107285.492,25.656
1678107286.123,25.656
1678107287.098,25.672
1678107288.122,25.672
1678107289.097,25.672
1678107290.12,25.672
1678107291.391,25.688
1678107292.119,25.688
1678107293.094,25.688
1678107294.123,25.688
1678107295.093,25.688
1678107296.117,25.688
1678107297.136,25.688
1678107298.116,25.688
1678107299.13,25.688
1678107300.138,25.688
1678107301.094,25.688
1678107302.113,25.688
1678107303.14,25.703
1678107304.112,25.703
1678107305.187,25.703
1678107306.16,25.703
1678107307.086,25.703
1678107308.157,25.703
1678107309.185,25.703
1678107310.109,25.703
1678107311.181,25.703
1678107312.148,25.703
1678107313.131,25.703
1678107314.106,25.703
1678107315.13,25.703
1678107316.105,25.703
1678107317.129,25.703
1678107318.104,25.719
1678107319.128,25.734
1678107320.103,25.734
1678107321.127,25.75
1678107322.103,25.766
1678107323.125,25.781
1678107324.1,25.797
1678107325.124,25.812
1678107326.492,26.906
1678107327.123,27.312
1678107328.108,27.781
1678107329.122,28.203
1678107330.148,28.531
1678107331.121,28.797
1678107332.095,29.078
1678107333.512,29.312
1678107334.248,29.594
1678107335.119,29.812
1678107336.242,29.953
1678107337.117,30.094
1678107338.097,30.188
1678107339.167,30.234
1678107340.091,30.312
1678107341.115,30.391
1678107342.482,30.406
1678107343.113,30.484
1678107344.089,30.531
1678107345.407,30.625
1678107346.087,30.703
1678107347.111,30.797
1678107348.381,30.875
1678107349.16,30.953
1678107350.134,31.047
1678107351.306,31.078
1678107352.132,31.156
1678107353.107,31.203
1678107354.131,31.281
1678107355.174,31.312
1678107356.149,31.406
1678107357.202,31.453
1678107358.134,31.516
1678107359.104,31.547
1678107360.177,31.594
1678107361.103,31.656
1678107362.373,31.688
1678107363.248,31.766
1678107364.125,31.812
1678107365.1,31.891
1678107366.172,31.953
1678107367.099,32.0
1678107368.128,32.031
1678107369.344,32.094
1678107370.122,32.219
1678107371.097,32.25
1678107372.121,32.281
1678107373.096,32.312
1678107374.119,32.375
1678107375.144,32.312
1678107376.118,32.344
1678107377.093,32.375
1678107378.126,32.438
1678107379.098,32.469
1678107380.115,32.531
1678107381.136,32.562
1678107382.115,32.594
1678107383.137,32.594
1678107384.114,32.625
1678107385.087,32.625
1678107386.111,32.656
1678107387.167,32.719
1678107388.11,32.75
1678107389.38,32.781
1678107390.139,32.844
1678107391.135,32.844
1678107392.151,32.875
1678107393.133,32.906
1678107394.105,32.938
1678107395.129,32.969
1678107396.4,32.938
1678107397.128,32.906
1678107398.103,32.938
1678107399.126,32.969
1678107400.101,33.0
1678107401.125,33.031
1678107402.182,33.062
1678107403.123,33.062
1678107404.098,33.094
1678107405.123,33.125
1678107406.098,33.156
1678107407.121,33.188
1678107408.293,33.219
1678107409.119,33.25
1678107410.133,33.25
1678107411.161,33.281
1678107412.093,33.281
1678107413.118,33.312
1678107414.143,33.312
1678107415.116,33.312
1678107416.09,33.344
1678107417.506,33.375
1678107418.243,33.375
1678107419.113,33.406
1678107420.236,33.438
1678107421.111,33.5
1678107422.098,33.5
1678107423.109,33.531
1678107424.085,33.531
1678107425.108,33.562
1678107426.329,33.594
1678107427.107,33.594
1678107428.082,33.625
1678107429.4,33.625
1678107430.129,33.656
1678107431.104,33.656
1678107432.128,33.688
1678107433.104,33.688
1678107434.126,33.75
1678107435.299,33.75
1678107436.125,33.781
1678107437.1,33.781
1678107438.124,33.812
1678107439.099,33.812
1678107440.123,33.812
1678107441.141,33.812
1678107442.121,33.844
1678107443.096,33.844
1678107444.178,33.844
1678107445.095,33.875
1678107446.364,33.875
1678107447.486,33.906
1678107448.117,33.938
1678107449.092,33.938
1678107450.115,33.969
1678107451.094,33.969
1678107452.114,34.0
1678107453.335,34.0
1678107454.113,34.0
1678107455.088,34.031
1678107456.144,34.031
1678107457.086,34.031
1678107458.11,34.031
1678107459.38,34.031
1678107460.109,34.062
1678107461.083,34.062
1678107462.199,34.094
1678107463.117,34.094
1678107464.106,34.094
1678107465.129,34.125
1678107466.105,34.125
1678107467.472,34.156
1678107468.109,34.156
1678107469.127,34.156
1678107470.102,34.156
1678107471.174,34.156
1678107472.1,34.156
1678107473.124,34.156
1678107474.491,34.188
1678107475.126,34.188
1678107476.098,34.188
1678107477.121,34.188
1678107478.096,34.188
1678107479.12,34.188
1678107480.39,34.188
1678107552.023,34.469
1678107553.047,34.469
1678107554.064,34.531
1678107555.046,34.469
1678107556.021,34.469
1678107557.107,34.5
1678107558.02,34.562
1678107559.043,34.75
1678107560.087,34.531
1678107561.042,34.562
1678107562.017,34.531
1678107563.04,34.531
1678107564.065,34.531
1678107565.039,34.531
1678107566.073,34.531
1678107567.053,34.531
1678107568.013,34.531
1678107569.036,34.5
1678107570.012,34.5
1678107571.074,34.469
1678107572.059,34.469
1678107573.034,34.469
1678107574.009,34.469
1678107575.033,34.469
1678107576.008,34.469
1678107577.031,34.469
1678107578.448,34.469
1678107579.03,34.5
1678107580.054,34.5
1678107581.129,34.5
1678107582.052,34.531
1678107583.027,34.531
1678107584.051,34.531
1678107585.026,34.562
1678107586.05,34.562
1678107587.072,34.562
1678107588.049,34.562
1678107589.023,34.562
1678107590.067,34.531
1678107591.022,34.531
1678107592.046,34.531
1678107593.316,34.531
