time,tmp
1669021320.792,0.0
1669021330.688,0.0
1669021340.68,0.0
1669021350.674,0.0
1669021360.818,0.0
1669021370.709,0.0
1669021380.702,0.0
1669021390.695,0.0
1669021400.887,0.0
1669021410.682,0.0
1669021420.677,0.0
1669021430.816,0.0
1669021440.712,0.0
1669021450.765,0.0
1669021460.946,0.0
1669021470.708,0.0
1669021480.688,0.0
1669021490.73,0.0
1669021500.731,0.0
1669021510.725,0.0
1669021521.056,0.0
1669021530.719,0.0
1669021540.836,0.0
1669021550.744,0.0
1669021560.738,0.0
1669021570.788,0.0
1669021580.824,0.0
1669021590.728,0.0
1669021600.715,0.0
1669021611.004,0.0
1669021620.752,0.0
1669021630.746,0.0
1669021640.748,0.0
1669021650.746,0.0
1669021660.783,0.0
1669021670.78,0.0
1669021680.778,0.0
1669021690.76,0.0
1669021701.048,0.0
1669021710.749,0.0
1669021720.744,0.0
1669021730.786,0.0
1669021740.786,0.0
1669021750.781,0.0
1669021760.765,0.0
1669021770.758,0.0
1669021780.751,0.0
1669021790.793,0.0
1669021800.785,0.0
1669021910.793,0.0
1669021920.835,0.0
1669021930.815,0.0
1669021940.822,0.0
1669021950.866,0.0
1669021960.81,0.0
1669021971.098,0.0
1669021980.797,0.0
1669021990.838,0.0
1669022000.847,0.0
1669022010.826,0.0
1669022020.828,0.0
1669022030.814,0.0
1669022040.956,0.0
1669022050.85,0.0
1669022061.09,0.0
1669022070.838,0.0
1669022080.832,0.0
1669022090.825,0.0
1669022100.819,0.0
1669022110.874,0.0
1669022120.892,0.0
1669022130.999,0.0
1669022140.859,0.0
1669022150.838,0.0
1669022160.88,0.0
1669022170.874,0.0
1669022180.869,0.0
1669022190.862,0.0
1669022201.1,0.0
1669022210.85,0.0
1669022220.993,0.0
1669022230.887,0.0
1669022240.886,0.0
1669022250.875,0.0
1669022260.918,0.0
1669022271.061,0.0
1669022280.906,0.0
1669022290.955,0.0
1669022300.894,0.0
1669022310.988,0.0
1669022321.126,0.0
1669022330.932,0.0
1669022340.919,0.0
1669022350.914,0.0
1669022360.908,0.0
1669022370.96,0.0
1669022381.139,0.0
1669022390.939,0.0
1669022400.985,0.0
1669022410.939,0.0
1669022420.921,0.0
1669022430.928,0.0
1669022440.909,0.0
1669022451.101,0.0
1669022460.947,0.0
1669022470.941,0.0
1669022480.943,0.0
1669022490.98,0.0
1669022500.953,0.0
1669022510.966,0.0
1669022520.966,0.0
1669022530.958,0.0
1669022540.951,0.0
1669022550.943,0.0
1669022561.083,0.0
1669022570.98,0.0
1669022580.974,0.0
1669022590.968,0.0
1669022601.088,0.0
1669022610.956,0.0
1669022620.988,0.0
1669022630.995,0.0
1669022640.99,0.0
1669022650.982,0.0
1669022660.977,0.0
1669022671.153,0.0
1669022680.965,0.0
1669022691.008,0.0
1669022701.1,0.0
1669022710.996,0.0
1669022720.991,0.0
1669022731.036,0.0
1669022741.125,0.0
1669022851.038,0.0
1669022861.079,0.0
1669022871.037,0.0
1669022881.024,0.0
1669022891.068,0.0
1669022901.054,0.0
1669022911.049,0.0
1669022921.042,0.0
1669022931.09,0.0
1669022941.03,0.0
1669022951.078,0.0
1669022961.069,0.0
1669022971.061,0.0
1669022981.056,0.0
1669022991.049,0.0
1669023001.188,0.0
1669023011.085,0.0
1669023021.08,0.0
1669023031.074,0.0
1669023041.068,0.0
1669023051.263,0.0
1669023061.104,0.0
1669023071.354,0.0
1669023081.101,0.0
1669023091.086,0.0
1669023101.278,0.0
1669023111.271,0.0
1669023121.121,0.0
1669023131.176,0.0
1669023141.109,0.0
1669023151.099,0.0
1669023161.193,0.0
1669023171.087,0.0
