time,tmp
1669021320.792,139.375
1669021330.688,139.375
1669021340.68,139.375
1669021350.674,139.375
1669021360.818,139.375
1669021370.709,139.375
1669021380.702,139.375
1669021390.695,139.375
1669021400.887,139.375
1669021410.682,139.375
1669021420.677,139.375
1669021430.816,139.375
1669021440.712,139.375
1669021450.765,139.375
1669021460.946,139.375
1669021470.708,139.375
1669021480.688,139.375
1669021490.73,139.375
1669021500.731,139.375
1669021510.725,139.375
1669021521.056,139.375
1669021530.719,139.375
1669021540.836,139.375
1669021550.744,139.375
1669021560.738,139.375
1669021570.788,139.375
1669021580.824,139.375
1669021590.728,139.375
1669021600.715,139.375
1669021611.004,139.375
1669021620.752,139.375
1669021630.746,139.375
1669021640.748,139.375
1669021650.746,139.375
1669021660.783,139.375
1669021670.78,139.375
1669021680.778,139.375
1669021690.76,139.375
1669021701.048,139.375
1669021710.749,139.375
1669021720.744,139.375
1669021730.786,139.375
1669021740.786,139.375
1669021750.781,139.375
1669021760.765,139.375
1669021770.758,139.375
1669021780.751,139.375
1669021790.793,139.375
1669021800.785,139.375
1669021910.793,139.375
1669021920.835,139.375
1669021930.815,139.375
1669021940.822,139.375
1669021950.866,139.375
1669021960.81,139.375
1669021971.098,139.375
1669021980.797,139.375
1669021990.838,139.375
1669022000.847,139.375
1669022010.826,139.375
1669022020.828,139.375
1669022030.814,139.375
1669022040.956,139.375
1669022050.85,139.375
1669022061.09,139.375
1669022070.838,139.375
1669022080.832,139.375
1669022090.825,139.375
1669022100.819,139.375
1669022110.874,139.375
1669022120.892,139.375
1669022130.999,139.375
1669022140.859,139.375
1669022150.838,139.375
1669022160.88,139.375
1669022170.874,139.375
1669022180.869,139.375
1669022190.862,139.375
1669022201.1,139.375
1669022210.85,139.375
1669022220.993,139.375
1669022230.887,139.375
1669022240.886,139.375
1669022250.875,139.375
1669022260.918,139.375
1669022271.061,139.375
1669022280.906,139.375
1669022290.955,139.375
1669022300.894,139.375
1669022310.988,139.375
1669022321.126,139.375
1669022330.932,139.375
1669022340.919,139.375
1669022350.914,139.375
1669022360.908,139.375
1669022370.96,139.375
1669022381.139,139.375
1669022390.939,139.375
1669022400.985,139.375
1669022410.939,139.375
1669022420.921,139.375
1669022430.928,139.375
1669022440.909,139.375
1669022451.101,139.375
1669022460.947,139.375
1669022470.941,139.375
1669022480.943,139.375
1669022490.98,139.375
1669022500.953,139.375
1669022510.966,139.375
1669022520.966,139.375
1669022530.958,139.375
1669022540.951,139.375
1669022550.943,139.375
1669022561.083,139.375
1669022570.98,139.375
1669022580.974,139.375
1669022590.968,139.375
1669022601.088,139.375
1669022610.956,139.375
1669022620.988,139.375
1669022630.995,139.375
1669022640.99,139.375
1669022650.982,139.375
1669022660.977,139.375
1669022671.153,139.375
1669022680.965,139.375
1669022691.008,139.375
1669022701.1,139.375
1669022710.996,139.375
1669022720.991,139.375
1669022731.036,139.375
1669022741.125,139.375
1669022851.038,139.375
1669022861.079,139.375
1669022871.037,139.375
1669022881.024,139.375
1669022891.068,139.375
1669022901.054,139.375
1669022911.049,139.375
1669022921.042,139.375
1669022931.09,139.375
1669022941.03,139.375
1669022951.078,139.375
1669022961.069,139.375
1669022971.061,139.375
1669022981.056,139.375
1669022991.049,139.375
1669023001.188,139.375
1669023011.085,139.375
1669023021.08,139.375
1669023031.074,139.375
1669023041.068,139.375
1669023051.263,139.375
1669023061.104,139.375
1669023071.354,139.375
1669023081.101,139.375
1669023091.086,139.375
1669023101.278,139.375
1669023111.271,139.375
1669023121.121,139.375
1669023131.176,139.375
1669023141.109,139.375
1669023151.099,139.375
1669023161.193,139.375
1669023171.087,139.375
