time,tmp
1678107248.535,46.812
1678107258.574,46.812
1678107268.523,46.812
1678107278.518,46.812
1678107288.56,46.812
1678107298.506,46.812
1678107308.549,46.812
1678107318.543,46.812
1678107328.537,46.812
1678107338.531,46.812
1678107348.525,46.812
1678107358.519,46.812
1678107368.562,46.812
1678107378.555,46.812
1678107388.548,46.812
1678107398.553,46.812
1678107408.534,46.812
1678107418.576,46.812
1678107428.57,46.812
1678107438.562,46.812
1678107448.555,46.812
1678107458.941,46.812
1678107468.542,46.812
1678107478.584,46.812
1678107558.605,46.812
1678107568.598,46.812
1678107578.592,46.812
1678107588.585,46.812
1678107598.579,46.812
1678107608.572,46.812
1678107618.566,46.812
1678107628.608,46.812
1678107638.603,46.812
1678107648.595,46.812
1678107658.589,46.812
1678107668.582,46.812
1678107678.576,46.812
1678107688.618,46.812
1678107698.612,46.812
1678107708.606,46.812
1678107718.599,46.812
1678107728.593,46.812
1678107739.028,46.812
1678107748.629,46.812
1678107758.623,46.812
1678107768.617,46.812
1678107778.61,46.812
1678107788.948,46.812
1678107798.598,46.812
1678107808.984,46.812
1678107818.634,46.812
1678107828.923,46.812
1678107838.621,46.812
1678107848.615,46.812
1678107858.856,46.812
1678107868.651,46.812
1678107878.646,46.812
1678107888.639,46.812
1678107898.633,46.812
1678107908.627,46.812
1678107918.669,46.812
1678107928.663,46.812
1678107938.657,46.812
1678107948.651,46.812
1678107958.645,46.812
1678107968.638,46.812
1678107978.632,46.812
1678107988.717,46.812
1678107998.669,46.812
1678108008.662,46.812
1678108018.656,46.812
1678108028.65,46.812
1678108038.693,46.812
1678108048.686,46.812
1678108058.68,46.812
1678108068.674,46.812
1678108079.012,46.812
1678108088.662,46.812
1678108099.045,46.812
1678108108.7,46.812
1678108118.692,46.812
1678108128.686,46.812
1678108138.68,46.812
1678108148.92,46.812
1678108158.717,46.812
1678108168.711,46.812
1678108178.704,46.812
1678108188.698,46.812
1678108198.692,46.812
1678108208.686,46.812
1678108218.729,46.812
1678108228.722,46.812
1678108238.716,46.812
1678108248.71,46.812
1678108258.707,46.812
1678108268.698,46.812
1678108278.741,46.812
1678108288.743,46.812
1678108298.729,46.812
1678108308.722,46.812
1678108318.716,46.812
1678108328.711,46.812
1678108338.753,46.812
1678108348.993,46.812
1678108358.741,46.812
1678108369.027,46.812
1678108378.765,46.812
1678108388.723,46.812
1678108468.758,46.812
1678108478.752,46.812
1678108488.795,46.812
1678108498.789,46.812
1678108508.783,46.812
1678108518.778,46.812
1678108528.77,46.812
1678108538.764,46.812
1678108548.807,46.812
1678108558.801,46.812
1678108568.795,46.812
1678108578.789,46.812
1678108588.783,46.812
1678108598.777,46.812
1678108608.771,46.812
1678108618.814,46.812
1678108628.808,46.812
1678108638.802,46.812
1678108648.8,46.812
1678108658.789,46.812
1678108668.783,46.812
1678108679.069,46.812
1678108688.82,46.812
1678108699.058,46.812
1678108708.82,46.812
1678108718.801,46.812
1678108728.796,46.812
1678108738.796,46.812
1678108748.832,46.812
1678108758.826,46.812
1678108769.064,46.812
1678108778.814,46.812
1678108788.808,46.812
1678108798.802,46.812
1678108808.851,46.812
1678108818.839,46.812
1678108828.833,46.812
1678108838.827,46.812
1678108848.821,46.812
1678108858.815,46.812
1678108868.857,46.812
1678108878.851,46.812
1678108888.846,46.812
1678108898.839,46.812
1678108908.833,46.812
1678108918.827,46.812
1678108928.87,46.812
1678108938.864,46.812
1678108948.858,46.812
1678108958.852,46.812
1678108969.041,46.812
1678108978.888,46.812
1678108988.882,46.812
1678108998.876,46.812
1678109008.87,46.812
1678109019.013,46.812
1678109028.858,46.812
1678109039.047,46.812
1678109048.895,46.812
1678109059.035,46.812
1678109068.931,46.812
1678109078.876,46.812
1678109089.066,46.812
1678109098.864,46.812
1678109108.956,46.812
1678109118.901,46.812
1678109128.895,46.812
1678109138.889,46.812
1678109148.932,46.812
1678109158.926,46.812
1678109168.92,46.812
1678109178.914,46.812
1678109188.911,46.812
1678109198.901,46.812
1678109208.944,46.812
1678109218.938,46.812
1678109228.932,46.812
1678109238.926,46.812
1678109248.92,46.812
1678109258.913,46.812
