,EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime
0,-1.984961288482524,-1.9849602870302796,-1.9830565036621672,-0.0019037833652779056,0,0,0.0,0.0,0.0,0,0.0
1,-1.984961288482524,-1.984897924044375,-1.9830203123261996,-0.0018776117153429576,0,0,0.0,0.0,0.0,0,0.0
2,-1.984961288482524,-1.9848187179786587,-1.9829838837273928,-0.001834834248435451,0,0,0.0,0.0,0.0,0,0.0
3,-1.9846633561539113,-1.984716794526782,-1.9829472193319522,-0.0017695751920011886,0,0,0.0,0.0,0.0,0,0.0
4,-1.9846633561539113,-1.9846020447936237,-1.9829103206515846,-0.0016917241392123286,0,0,0.0,0.0,0.0,0,0.0
5,-1.9843654238252986,-1.9844944259702786,-1.9828731892419849,-0.001621236725468885,0,0,0.0,0.0,0.0,0,0.0
6,-1.9843654238252986,-1.9844123539646483,-1.9828358267011261,-0.0015765272606994305,0,0,0.0,0.0,0.0,0,0.0
7,-1.9843654238252986,-1.9843624591085423,-1.9827982346677142,-0.0015642244380073389,0,0,0.0,0.0,0.0,0,0.0
8,-1.9843654238252986,-1.9843363539740144,-1.9827604148201516,-0.001575939151044135,0,0,0.0,0.0,0.0,0,0.0
9,-1.9843654238252986,-1.9843151401649142,-1.9827223688761326,-0.0015927712859652137,0,0,0.0,0.0,0.0,0,0.0
10,-1.9843654238252986,-1.9842777871153667,-1.9826840985927126,-0.0015936885198400206,0,0,0.0,0.0,0.0,0,0.0
11,-1.9840674914966856,-1.984208308566378,-1.9826456057664772,-0.001562702797088438,0,0,0.0,0.0,0.0,0,0.0
12,-1.9840674914966856,-1.9840990945450419,-1.9826068922333708,-0.0014922023088609522,0,0,0.0,0.0,0.0,0,0.0
13,-1.9840674914966856,-1.983951110864437,-1.982567959867829,-0.0013831509937998127,0,0,0.0,0.0,0.0,0,0.0
14,-1.9837695591680728,-1.9837728244748019,-1.982528810581031,-0.0012440138909646117,0,0,0.0,0.0,0.0,0,0.0
15,-1.98347162683946,-1.9835785353560063,-1.9824894463182834,-0.0010890890349184031,0,0,0.0,0.0,0.0,0,0.0
16,-1.98347162683946,-1.9833858558000137,-1.982449869055724,-0.0009359867414867862,0,0,0.0,0.0,0.0,0,0.0
17,-1.9831736945108471,-1.9832124743395758,-1.982410080796673,-0.0008023935401013848,0,0,0.0,0.0,0.0,0,0.0
18,-1.9831736945108471,-1.9830726860406214,-1.9823700835680305,-0.0007026024697904553,0,0,0.0,0.0,0.0,0,0.0
19,-1.9828757621822344,-1.982973944909293,-1.9823298794171178,-0.0006440654893758438,0,0,0.0,0.0,0.0,0,0.0
20,-1.9828757621822344,-1.9829140914290808,-1.9822894704092768,-0.0006246210170056366,0,0,0.0,0.0,0.0,0,0.0
21,-1.9828757621822344,-1.982880983649308,-1.9822488586263831,-0.0006321250201270492,0,0,0.0,0.0,0.0,0,0.0
22,-1.9828757621822344,-1.9828561686711925,-1.9822080461662153,-0.0006481225021800047,0,0,0.0,0.0,0.0,0,0.0
23,-1.9828757621822344,-1.9828219337521427,-1.9821670351424232,-0.0006548986069231672,0,0,0.0,0.0,0.0,0,0.0
24,-1.9828757621822344,-1.982768187973569,-1.982125827684716,-0.0006423602860577957,0,0,0.0,0.0,0.0,0,0.0
25,-1.9825778298536216,-1.982694934704044,-1.9820844259389099,-0.0006105087623397066,0,0,0.0,0.0,0.0,0,0.0
26,-1.9825778298536216,-1.9826087400732086,-1.9820428320666097,-0.0005659080038053778,0,0,0.0,0.0,0.0,0,0.0
27,-1.9825778298536216,-1.9825157536785605,-1.982001048244486,-0.0005147054312818087,0,0,0.0,0.0,0.0,0,0.0
28,-1.9822798975250089,-1.9824162229770295,-1.9819590766632302,-0.00045714631100771943,0,0,0.0,0.0,0.0,0,0.0
29,-1.9822798975250089,-1.9823044630832336,-1.9819169195262805,-0.000387543554162594,0,0,0.0,0.0,0.0,0,0.0
30,-1.9822798975250089,-1.982174806836639,-1.9818745790483254,-0.0003002277855237547,0,0,0.0,0.0,0.0,0,0.0
31,-1.9822798975250089,-1.9820298442526334,-1.9818320574535104,-0.0001977867963342656,0,0,0.0,0.0,0.0,0,0.0
32,-1.9816840328677832,-1.9818846068212252,-1.9817893569732983,-9.524984513891669e-05,0,0,0.0,0.0,0.0,0,0.0
33,-1.9816840328677832,-1.9817622987181616,-1.981746479844096,-1.581887127785229e-05,0,0,0.0,0.0,0.0,0,0.0
34,-1.9816840328677832,-1.9816834513862287,-1.9817034283049701,1.9976921528823844e-05,0,0,0.0,0.0,0.0,0,0.0
35,-1.9816840328677832,-1.9816553791382565,-1.9816602045959053,4.8254604354098195e-06,0,0,0.0,0.0,0.0,0,0.0
36,-1.9816840328677832,-1.9816678782336825,-1.9816168109569956,-5.106727390096627e-05,0,0,0.0,0.0,0.0,0,0.0
37,-1.9816840328677832,-1.9816963165313763,-1.9815732496287002,-0.00012306689989084437,0,0,0.0,0.0,0.0,0,0.0
38,-1.9816840328677832,-1.9817096861913746,-1.9815295228529428,-0.00018016333564737546,0,0,0.0,0.0,0.0,0,0.0
39,-1.9816840328677832,-1.9816804982948315,-1.9814856328745358,-0.00019486541751201,0,0,0.0,0.0,0.0,0,0.0
40,-1.9816840328677832,-1.9815937831232382,-1.9814415819422757,-0.0001522011781798279,0,0,0.0,0.0,0.0,0,0.0
