time,rrt
1669021316.08,-0.9767441860465116
1669021316.31,-0.7674418604651163
1669021316.454,-0.9612403100775194
1669021316.844,-0.31007751937984496
1669021316.849,-0.4263565891472868
1669021316.99,-0.7441860465116279
1669021316.995,-0.9689922480620154
1669021317.042,-0.9767441860465116
1669021317.046,-0.9767441860465116
1669021317.136,-0.9767441860465116
1669021317.141,-0.9689922480620154
1669021317.282,-0.937984496124031
1669021317.289,-0.8062015503875969
1669021317.332,-0.9689922480620154
1669021317.337,-0.9612403100775194
1669021317.433,-0.7364341085271318
1669021317.575,-0.9612403100775194
1669021317.584,-0.9767441860465116
1669021317.721,-0.6744186046511628
1669021318.258,-0.5348837209302325
1669021318.702,-0.5503875968992248
1669021318.796,-0.3875968992248062
1669021318.843,-0.9534883720930233
1669021318.851,-0.937984496124031
1669021318.94,-0.8527131782945736
1669021319.135,-0.5581395348837209
1669021319.232,-0.9534883720930233
1669021319.238,-0.9612403100775194
1669021319.33,-0.9302325581395349
1669021319.525,-0.5968992248062015
1669021319.533,-0.9689922480620154
1669021319.708,-0.9767441860465116
1669021319.853,-0.6511627906976745
1669021319.966,-0.9302325581395349
1669021320.208,-0.5813953488372093
1669021320.405,-0.5038759689922481
1669021320.503,-0.9302325581395349
1669021320.646,-0.6201550387596899
1669021320.8,-0.9767441860465116
1669021320.938,-0.9689922480620154
1669021320.943,-0.9534883720930233
1669021320.949,-0.7286821705426356
1669021321.136,-0.9612403100775194
1669021321.342,-0.5968992248062015
1669021321.377,-0.9689922480620154
1669021321.426,-0.9767441860465116
1669021321.431,-0.9767441860465116
1669021321.474,-0.9689922480620154
1669021321.621,-0.6434108527131783
1669021321.914,-0.9147286821705426
1669021322.059,-0.3178294573643411
1669021322.065,-0.9689922480620154
1669021322.208,-0.9844961240310077
1669021322.214,-0.9612403100775194
1669021322.304,-0.7054263565891473
1669021322.309,-0.9689922480620154
1669021322.314,-0.937984496124031
1669021322.449,-0.7054263565891473
1669021322.742,-0.627906976744186
1669021322.747,-0.937984496124031
1669021323.034,-0.6356589147286822
1669021323.04,-0.9689922480620154
1669021323.181,-0.9844961240310077
1669021323.186,-0.9612403100775194
1669021323.717,0.0
1669021323.723,-0.9767441860465116
1669021323.864,-0.9844961240310077
1669021323.869,-0.9844961240310077
1669021323.874,-0.9689922480620154
1669021324.155,-0.6124031007751938
1669021324.16,-0.9534883720930233
1669021324.302,-0.6201550387596899
1669021324.546,-0.7131782945736435
1669021324.551,-0.9612403100775194
1669021324.594,-0.9689922480620154
1669021324.599,-0.9767441860465116
1669021324.606,-0.9534883720930233
1669021324.838,-0.6589147286821705
1669021325.277,-0.2558139534883721
1669021325.423,-0.9224806201550387
1669021325.669,-0.4186046511627907
1669021325.813,-0.9612403100775194
1669021325.821,-0.9767441860465116
1669021325.959,-0.9767441860465116
1669021326.0,-0.6201550387596899
1669021326.106,-0.7751937984496124
1669021326.252,-0.9534883720930233
1669021326.258,-0.9534883720930233
1669021326.399,-0.7209302325581395
1669021326.497,-0.9069767441860465
1669021327.226,0.23255813953488372
1669021327.373,-0.9612403100775194
1669021327.378,-0.9767441860465116
1669021327.421,-0.9767441860465116
1669021327.426,-0.9767441860465116
1669021327.431,-0.9767441860465116
1669021327.52,-0.9689922480620154
1669021327.525,-0.8449612403100775
1669021327.53,-0.9612403100775194
1669021327.55,-0.9767441860465116
1669021327.568,-0.9767441860465116
1669021328.347,-0.9689922480620154
1669021328.64,0.5968992248062015
1669021328.644,-0.9457364341085271
1669021328.692,-0.9457364341085271
1669021328.7,-0.9302325581395349
1669021328.747,-0.9612403100775194
1669021328.786,-0.9767441860465116
1669021328.792,-0.9844961240310077
1669021328.797,-0.9767441860465116
1669021328.801,-0.9844961240310077
1669021329.03,-0.9689922480620154
1669021329.071,-0.5426356589147286
1669021329.277,-0.9767441860465116
1669021329.469,-0.9689922480620154
1669021329.615,-0.4496124031007752
1669021329.858,-0.875968992248062
1669021329.863,-0.5426356589147286
1669021330.151,-0.9612403100775194
1669021330.156,-0.6046511627906976
1669021330.2,-0.9767441860465116
1669021330.206,-0.9767441860465116
1669021330.444,-0.5968992248062015
1669021330.492,-0.9689922480620154
1669021330.498,-0.9689922480620154
1669021330.736,-0.6744186046511628
1669021330.742,-0.9224806201550387
1669021331.028,-0.5038759689922481
1669021331.126,-0.9612403100775194
1669021331.132,-0.9689922480620154
1669021331.424,-0.9457364341085271
1669021331.714,-0.4263565891472868
1669021332.044,-0.6511627906976745
1669021332.102,-0.3023255813953488
1669021332.248,-0.9224806201550387
1669021332.394,-0.7829457364341085
1669021332.688,-0.5271317829457365
1669021332.835,-0.9534883720930233
1669021332.84,-0.9767441860465116
1669021332.978,-0.627906976744186
1669021332.983,-0.8682170542635659
1669021333.369,-0.5348837209302325
1669021333.661,-0.5348837209302325
1669021333.667,-0.9302325581395349
1669021333.807,-0.7441860465116279
1669021333.819,-0.9689922480620154
1669021333.953,-0.9767441860465116
1669021333.992,-0.9767441860465116
1669021334.099,-0.9689922480620154
1669021334.105,-0.7751937984496124
1669021334.248,-0.9069767441860465
1669021334.343,-0.6976744186046512
1669021334.349,-0.9612403100775194
1669021334.392,-0.9767441860465116
1669021334.397,-0.9534883720930233
1669021334.636,-0.5968992248062015
1669021334.641,-0.9767441860465116
1669021335.075,-0.9612403100775194
1669021335.08,-0.49612403100775193
1669021335.22,-0.9534883720930233
1669021335.225,-0.9457364341085271
1669021335.269,-0.7751937984496124
1669021335.611,-0.9302325581395349
1669021335.616,-0.46511627906976744
1669021335.662,-0.9767441860465116
1669021335.667,-0.9767441860465116
1669021335.903,-0.9612403100775194
1669021335.911,-0.5813953488372093
1669021336.049,-0.9689922480620154
1669021336.054,-0.9767441860465116
1669021336.342,-0.9534883720930233
1669021336.347,-0.5116279069767442
1669021336.391,-0.9612403100775194
1669021336.586,-0.937984496124031
1669021336.732,-0.5271317829457365
1669021337.317,-0.7829457364341085
1669021337.322,-0.20155038759689922
1669021337.366,-0.9689922480620154
1669021337.371,-0.9844961240310077
1669021337.416,-0.9767441860465116
1669021337.463,-0.9844961240310077
1669021337.468,-0.9844961240310077
1669021337.856,-0.9534883720930233
1669021337.866,-0.49612403100775193
1669021338.146,-0.9457364341085271
1669021338.151,-0.4573643410852713
1669021338.343,-0.9534883720930233
1669021338.438,-0.6821705426356589
1669021338.443,-0.9612403100775194
1669021338.587,-0.9534883720930233
1669021338.681,-0.5348837209302325
1669021338.687,-0.9689922480620154
1669021338.828,-0.9689922480620154
1669021339.121,-0.9457364341085271
1669021339.126,-0.5193798449612403
1669021339.172,-0.9689922480620154
1669021339.176,-0.9767441860465116
1669021339.561,-0.9457364341085271
1669021339.708,-0.5116279069767442
1669021339.714,-0.9612403100775194
1669021339.949,-0.9224806201550387
1669021339.954,-0.46511627906976744
1669021340.098,-0.9534883720930233
1669021340.102,-0.9612403100775194
1669021340.534,-0.937984496124031
1669021340.778,-0.2558139534883721
1669021340.783,-0.6124031007751938
1669021340.826,-0.9767441860465116
1669021340.831,-0.9844961240310077
1669021340.836,-0.9844961240310077
1669021340.924,-0.9844961240310077
1669021340.962,-0.7131782945736435
1669021341.22,-0.9457364341085271
1669021341.363,-0.4728682170542636
1669021341.367,-0.9767441860465116
1669021341.412,-0.9844961240310077
1669021341.417,-0.9844961240310077
1669021341.46,-0.9844961240310077
1669021341.465,-0.9844961240310077
1669021341.469,-0.9844961240310077
1669021341.509,-0.9844961240310077
1669021341.655,-0.9612403100775194
1669021341.66,-0.6124031007751938
1669021341.802,-0.9689922480620154
1669021341.899,-0.6511627906976745
1669021342.05,-0.8992248062015504
1669021342.339,-0.5116279069767442
1669021342.63,-0.9457364341085271
1669021342.635,-0.5891472868217055
1669021342.68,-0.9612403100775194
1669021343.166,-0.9534883720930233
1669021343.171,-0.2248062015503876
1669021343.459,-0.9534883720930233
1669021343.605,-0.32558139534883723
1669021343.61,-0.9534883720930233
1669021343.751,-0.9767441860465116
1669021343.757,-0.937984496124031
1669021343.939,-0.7209302325581395
1669021344.144,-0.9689922480620154
1669021344.149,-0.9534883720930233
1669021344.434,-0.5581395348837209
1669021344.58,-0.5891472868217055
1669021344.584,-0.9534883720930233
1669021344.872,-0.9689922480620154
1669021344.877,-0.9767441860465116
1669021344.88,-0.6046511627906976
1669021345.092,-0.8062015503875969
1669021345.124,-0.7054263565891473
1669021345.169,-0.9767441860465116
1669021345.174,-0.9767441860465116
1669021345.179,-0.9689922480620154
1669021345.411,-0.7054263565891473
1669021345.416,-0.9689922480620154
1669021345.423,-0.9767441860465116
1669021345.458,-0.9612403100775194
1669021346.238,-0.29457364341085274
1669021346.533,-0.4496124031007752
1669021347.36,-0.5736434108527132
1669021349.357,0.40310077519379844
1669021351.453,1.9844961240310077
1669021351.458,2.2170542635658914
1669021351.502,-0.9844961240310077
1669021351.506,-0.9767441860465116
1669021351.511,-0.9767441860465116
1669021351.635,-0.9689922480620154
1669021351.7,-0.8682170542635659
1669021351.705,-0.9767441860465116
1669021351.713,-0.9767441860465116
1669021353.599,-0.9844961240310077
1669021353.649,1.8992248062015504
1669021353.654,-0.9612403100775194
1669021353.699,-0.8527131782945736
1669021353.744,-0.9689922480620154
1669021353.75,-0.9844961240310077
1669021353.754,-0.9844961240310077
1669021353.76,-0.9844961240310077
1669021353.793,-0.9844961240310077
1669021353.8,-0.9844961240310077
1669021353.805,-0.9767441860465116
1669021353.817,-0.9767441860465116
1669021353.844,-0.9844961240310077
1669021353.849,-0.9767441860465116
1669021353.854,-0.9844961240310077
1669021353.891,-0.9767441860465116
1669021353.899,-0.9844961240310077
1669021353.905,-0.9612403100775194
1669021353.939,-0.9534883720930233
1669021353.946,-0.937984496124031
1669021353.951,-0.9689922480620154
1669021353.958,-0.9767441860465116
1669021353.988,-0.9767441860465116
1669021353.993,-0.9844961240310077
1669021353.998,-0.9767441860465116
1669021354.003,-0.9767441860465116
1669021354.037,-0.9689922480620154
1669021354.042,-0.9689922480620154
1669021354.047,-0.9767441860465116
1669021354.052,-0.9844961240310077
1669021354.134,-0.9767441860465116
1669021354.14,-0.9147286821705426
1669021354.186,-0.9457364341085271
1669021354.191,-0.9844961240310077
1669021354.378,-0.9767441860465116
1669021355.353,-0.6434108527131783
1669021355.499,0.627906976744186
1669021355.505,-0.8992248062015504
1669021355.684,-0.6589147286821705
1669021355.791,-0.8682170542635659
1669021355.797,-0.9224806201550387
1669021355.938,-0.9534883720930233
1669021355.943,-0.937984496124031
1669021356.061,-0.813953488372093
1669021356.084,-0.9689922480620154
1669021356.09,-0.9767441860465116
1669021356.096,-0.9689922480620154
1669021356.182,-0.9302325581395349
1669021356.187,-0.813953488372093
1669021356.483,-0.6356589147286822
1669021356.62,-0.7829457364341085
1669021356.961,-0.6744186046511628
1669021356.967,-0.9302325581395349
1669021357.059,-0.7596899224806202
1669021357.065,-0.9844961240310077
1669021357.111,-0.9612403100775194
1669021357.116,-0.9689922480620154
1669021357.206,-0.7596899224806202
1669021357.304,-0.9767441860465116
1669021357.309,-0.9844961240310077
1669021357.314,-0.9767441860465116
1669021357.352,-0.9612403100775194
1669021357.357,-0.9612403100775194
1669021357.402,-0.9767441860465116
1669021357.595,-0.5891472868217055
1669021357.604,-0.9767441860465116
1669021357.744,-0.7209302325581395
1669021357.889,-0.9767441860465116
1669021357.896,-0.9689922480620154
1669021358.034,-0.7286821705426356
1669021358.041,-0.9844961240310077
1669021358.086,-0.9689922480620154
1669021358.161,-0.9302325581395349
1669021358.18,-0.8372093023255814
1669021358.185,-0.9612403100775194
1669021358.426,-0.7596899224806202
1669021358.476,-0.9844961240310077
1669021358.48,-0.9767441860465116
1669021358.573,-0.7364341085271318
1669021358.716,-0.9844961240310077
1669021358.722,-0.9767441860465116
1669021358.727,-0.9767441860465116
1669021358.731,-0.7286821705426356
1669021358.895,-0.9844961240310077
1669021358.912,-0.9844961240310077
1669021358.917,-0.9767441860465116
1669021358.921,-0.9767441860465116
1669021358.926,-0.9689922480620154
1669021359.155,-0.4883720930232558
1669021359.161,-0.9844961240310077
1669021359.286,-0.9844961240310077
1669021359.301,-0.9767441860465116
1669021359.306,-0.9767441860465116
1669021359.311,-0.9844961240310077
1669021359.399,-0.9767441860465116
