,ECG_Mean RR (ms),ECG_STD RR/SDNN (ms),ECG_Mean HR (beats/min),ECG_STD HR (beats/min),ECG_Min HR (beats/min),ECG_Max HR (beats/min),ECG_RMSSD (ms),ECG_NNxx,ECG_pNNxx (%),ECG_Power VLF (ms2),ECG_Power LF (ms2),ECG_Power HF (ms2),ECG_Power Total (ms2),ECG_LF/HF,ECG_Peak VLF (Hz),ECG_Peak LF (Hz),ECG_Peak HF (Hz),ECG_Fraction LF (nu),ECG_Fraction HF (nu),ECG_sd1,ECG_sd2
0,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,
2,920.8633089464785,9.079318864290105e-07,65.15625002872957,6.424128011701316e-08,65.15624999999999,65.15625017237744,1.5408115481397931e-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,1.0895182942201902e-06,8.439371892709315e-07
3,920.863285430499,7.09576959844011e-05,65.15625169261762,5.020656729141495e-06,65.15624999999999,65.15626675379866,0.00011162693437085352,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.26666666666666666,,,7.893216225669623e-05,6.940670852683238e-05
4,920.863285430499,7.09576959844011e-05,65.15625169261762,5.020656729141495e-06,65.15624999999999,65.15626675379866,0.00011162693437085352,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.26666666666666666,,,7.893216225669623e-05,6.940670852683238e-05
5,920.863285430499,7.09576959844011e-05,65.15625169261762,5.020656729141495e-06,65.15624999999999,65.15626675379866,0.00011162693437085352,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.26666666666666666,,,7.893216225669623e-05,6.940670852683238e-05
6,920.863285430499,7.09576959844011e-05,65.15625169261762,5.020656729141495e-06,65.15624999999999,65.15626675379866,0.00011162693437085352,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.26666666666666666,,,7.893216225669623e-05,6.940670852683238e-05
7,920.863285430499,7.09576959844011e-05,65.15625169261762,5.020656729141495e-06,65.15624999999999,65.15626675379866,0.00011162693437085352,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.26666666666666666,,,7.893216225669623e-05,6.940670852683238e-05
8,920.8632501565294,0.00010253045974122324,65.15625418844967,7.254607627332094e-06,65.15624999999999,65.15626675379866,0.00013670727961120622,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,7.892798468371136e-05,7.892798475950258e-05
9,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,
