,ECG_Mean RR (ms),ECG_STD RR/SDNN (ms),ECG_Mean HR (beats/min),ECG_STD HR (beats/min),ECG_Min HR (beats/min),ECG_Max HR (beats/min),ECG_RMSSD (ms),ECG_NNxx,ECG_pNNxx (%),ECG_Power VLF (ms2),ECG_Power LF (ms2),ECG_Power HF (ms2),ECG_Power Total (ms2),ECG_LF/HF,ECG_Peak VLF (Hz),ECG_Peak LF (Hz),ECG_Peak HF (Hz),ECG_Fraction LF (nu),ECG_Fraction HF (nu),ECG_sd1,ECG_sd2
0,,,,,,,,,,,,,,,,,,,,,
1,1045.3043151586212,22.11284500747455,57.426100455946255,1.2551041576507942,56.62573628241801,60.48165420159578,12.745869068237699,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.26666666666666666,,,7.381756323784522,25.736869623157947
2,975.1041486743418,80.68703267596933,61.96844100668293,5.282629213877044,56.62573628241801,70.78125,19.534598408724943,0.0,0.0,0.0,1071.7372626798165,18.783882429682933,1090.5211451094995,57.056216503262426,0.0,0.05194805194805195,0.15584415584415584,98.27753157158664,1.7224684284133565,11.337121394828566,111.33646194349593
3,946.2688328814085,84.55548390437038,63.91272708856517,5.67012417268131,56.62573628241801,72.65625,25.025654488696976,0.0,0.0,1484.0422147197357,207.75003655695576,101.49814265085647,1793.290393927548,2.0468358447858033,0.03225806451612903,0.06451612903225806,0.16129032258064516,67.17906539955712,32.82093460044289,17.61782791280562,118.11419075813023
4,988.1866767773532,100.0638730577033,61.36110564768119,6.377642243858707,51.09375000000001,72.65625,23.906467708858912,0.0,0.0,4418.223023850767,893.14952323606,104.99472057351271,5416.36726766034,8.506613650261736,0.024844720496894408,0.049689440993788817,0.17391304347826086,89.48100725674837,10.518992743251621,16.764940733550294,138.5812713133445
5,998.8200624011953,97.78451351872057,60.668330298197475,6.127945486868851,51.09374999999999,72.65625,24.918796054027425,0.0,0.0,4051.2348830709784,2293.697732099287,91.95630685396587,6436.888922024231,24.94334331784188,0.020618556701030927,0.041237113402061855,0.18556701030927836,96.14544668453631,3.854553315463683,17.59372669519331,138.33822044592742
6,1000.9138792585064,89.57073910532576,60.446168582100256,5.624532990679888,51.09374999999999,72.65625,24.233463296522466,0.0,0.0,8411.459309784634,768.8972453031517,84.35906312283491,9264.71561821062,9.114577815824761,0.017699115044247787,0.05309734513274336,0.17699115044247787,90.1132798797054,9.886720120294592,17.132805250577903,126.31256884953672
7,1006.0544246593553,94.64248589008494,60.19047038629368,5.889132696520189,51.09374999999999,72.65625,25.303870759240308,0.0,0.0,4778.367350894541,1319.4520080951463,82.58423961418278,6180.40359860387,15.97704373448693,0.03404255319148936,0.05106382978723405,0.18723404255319148,94.10969297340849,5.890307026591525,17.830264777687898,133.26896732736438
8,1016.6253840362804,85.08523551585186,59.45275635382626,5.212830037275946,51.09374999999999,72.65625,27.088628970888127,1.0,1.694915254237288,1095.4658179811365,1016.649196360275,135.68655641783567,2247.801570759247,7.492630244293228,0.03463203463203463,0.06926406926406926,0.2077922077922078,88.22508491203928,11.774915087960736,19.126986323159432,116.76279707941612
9,1023.8918303810045,72.60629947746413,58.89473567248535,4.168153049550302,51.09374999999999,67.03125,26.13474098958813,1.0,1.694915254237288,863.9761168717195,860.2079679146595,166.1056158495941,1890.2897006359733,5.178680826141145,0.034334763948497854,0.06866952789699571,0.22317596566523606,83.81531546719263,16.184684532807363,18.43693583211533,100.99027939287646
10,994.3787523574719,70.29588866864692,60.630545625448455,4.132220457810533,51.09374999999999,67.03125,25.800329479290447,1.0,1.7543859649122806,2827.5065483057597,1131.1142603813953,217.676363533832,4176.297172220987,5.1963118182355785,0.016666666666666666,0.05,0.21666666666666667,83.86136738540131,16.138632614598684,17.91696591499601,94.84398599465648
11,976.7646232546941,62.389946569949885,61.667725884731695,3.771387629974719,53.557548860578486,67.03125,25.254431145612305,1.0,1.7543859649122806,2099.5361372878847,662.579998289099,272.8965302410354,3035.012665818019,2.427953179558114,0.01639344262295082,0.06557377049180328,0.21311475409836067,70.82807297476255,29.17192702523745,17.856772370542714,87.1527467345209
12,968.035813013985,61.65173217829472,62.21689047686055,3.7077597276236567,53.557548860578486,67.03125,26.271071570463665,2.0,3.5714285714285716,1152.794950113495,172.50508693765843,229.4774702636286,1554.777507314782,0.7517299486502136,0.016129032258064516,0.06451612903225806,0.1935483870967742,42.91357519059688,57.08642480940312,18.54311942096196,85.41104887426148
13,943.4213951042145,34.25562038046046,63.67911336128447,2.228560073909213,56.41178996821165,67.06308006579086,25.399021299968364,2.0,3.5714285714285716,206.53643422917415,191.35870416948774,194.9672549147559,592.8623933134178,0.9814915035509635,0.015873015873015872,0.09523809523809523,0.1746031746031746,49.53296553591403,50.46703446408597,17.865811649972287,42.350354333034296
14,933.9222446301477,27.006199198175683,64.298034092294,1.8290969915295678,59.821975116322335,67.5,22.74608799996196,1.0,1.8181818181818181,326.38970717164756,361.71506093274894,164.08266955929645,852.1874376636929,2.2044684054950228,0.01606425702811245,0.09638554216867469,0.24096385542168672,68.79357592400662,31.206424075993382,16.06767509756331,34.554915429130375
15,933.0480272384895,26.458267905832685,64.35639666404589,1.800752129072277,59.821975116322335,67.51766711549269,20.787052168104044,1.0,1.7857142857142858,299.0436780719537,319.8901493023084,111.46933042434904,730.4031577986111,2.8697593148225504,0.01593625498007968,0.0796812749003984,0.23904382470119523,74.15859957569853,25.841400424301465,14.697509627907786,34.68513620472215
