time,hr,hr_norm
1669021388.741,119,0.27956989247311825
1669021411.462,90,-0.03225806451612903
1669021412.681,90,-0.03225806451612903
1669021413.559,89,-0.043010752688172046
1669021414.484,89,-0.043010752688172046
1669021415.703,89,-0.043010752688172046
1669021416.583,89,-0.043010752688172046
1669021417.458,89,-0.043010752688172046
1669021418.677,89,-0.043010752688172046
1669021419.603,88,-0.053763440860215055
1669021420.481,88,-0.053763440860215055
1669021421.7,87,-0.06451612903225806
1669021422.611,87,-0.06451612903225806
1669021423.503,87,-0.06451612903225806
1669021424.759,87,-0.06451612903225806
1669021425.601,87,-0.06451612903225806
1669021426.512,87,-0.06451612903225806
1669021427.696,87,-0.06451612903225806
1669021428.573,87,-0.06451612903225806
1669021429.502,87,-0.06451612903225806
1669021430.669,87,-0.06451612903225806
1669021431.598,87,-0.06451612903225806
1669021432.473,88,-0.053763440860215055
1669021433.692,88,-0.053763440860215055
1669021434.569,89,-0.043010752688172046
1669021435.496,89,-0.043010752688172046
1669021436.666,89,-0.043010752688172046
1669021437.592,88,-0.053763440860215055
1669021438.469,89,-0.043010752688172046
1669021439.688,89,-0.043010752688172046
1669021440.566,90,-0.03225806451612903
1669021441.492,90,-0.03225806451612903
1669021442.663,90,-0.03225806451612903
1669021443.588,90,-0.03225806451612903
1669021444.466,90,-0.03225806451612903
1669021445.684,90,-0.03225806451612903
1669021446.562,90,-0.03225806451612903
1669021447.544,90,-0.03225806451612903
1669021448.658,90,-0.03225806451612903
1669021449.88,90,-0.03225806451612903
1669021450.516,90,-0.03225806451612903
1669021451.683,90,-0.03225806451612903
1669021452.558,90,-0.03225806451612903
1669021453.484,90,-0.03225806451612903
1669021454.752,90,-0.03225806451612903
1669021455.581,90,-0.03225806451612903
1669021456.702,90,-0.03225806451612903
1669021457.686,90,-0.03225806451612903
1669021458.603,90,-0.03225806451612903
1669021459.482,92,-0.010752688172043012
1669021460.7,92,-0.010752688172043012
1669021461.577,93,0.0
1669021462.614,93,0.0
1669021463.673,92,-0.010752688172043012
1669021464.604,91,-0.021505376344086023
1669021465.477,90,-0.03225806451612903
1669021466.744,90,-0.03225806451612903
1669021467.573,89,-0.043010752688172046
1669021468.584,89,-0.043010752688172046
1669021469.669,89,-0.043010752688172046
1669021470.694,89,-0.043010752688172046
1669021471.473,89,-0.043010752688172046
1669021472.692,89,-0.043010752688172046
1669021473.569,89,-0.043010752688172046
1669021474.496,91,-0.021505376344086023
1669021475.666,90,-0.03225806451612903
1669021476.592,90,-0.03225806451612903
1669021477.47,90,-0.03225806451612903
1669021478.837,90,-0.03225806451612903
1669021479.566,90,-0.03225806451612903
1669021480.492,90,-0.03225806451612903
1669021481.712,90,-0.03225806451612903
1669021482.588,90,-0.03225806451612903
1669021483.466,89,-0.043010752688172046
1669021484.687,89,-0.043010752688172046
1669021485.562,89,-0.043010752688172046
1669021486.488,89,-0.043010752688172046
1669021487.954,89,-0.043010752688172046
1669021488.585,89,-0.043010752688172046
1669021489.758,89,-0.043010752688172046
1669021490.681,89,-0.043010752688172046
1669021491.658,89,-0.043010752688172046
1669021492.485,89,-0.043010752688172046
1669021493.707,89,-0.043010752688172046
1669021494.581,90,-0.03225806451612903
1669021495.507,90,-0.03225806451612903
1669021496.733,90,-0.03225806451612903
1669021497.604,90,-0.03225806451612903
1669021498.481,90,-0.03225806451612903
1669021499.702,90,-0.03225806451612903
1669021500.578,90,-0.03225806451612903
1669021501.504,90,-0.03225806451612903
1669021502.674,90,-0.03225806451612903
1669021503.602,90,-0.03225806451612903
1669021504.568,90,-0.03225806451612903
1669021505.696,90,-0.03225806451612903
1669021506.623,90,-0.03225806451612903
1669021507.502,90,-0.03225806451612903
1669021508.726,90,-0.03225806451612903
1669021509.598,90,-0.03225806451612903
1669021510.523,90,-0.03225806451612903
1669021511.693,90,-0.03225806451612903
1669021512.655,90,-0.03225806451612903
1669021513.497,90,-0.03225806451612903
1669021514.725,90,-0.03225806451612903
1669021515.593,90,-0.03225806451612903
1669021516.471,90,-0.03225806451612903
1669021517.738,90,-0.03225806451612903
1669021518.567,90,-0.03225806451612903
1669021519.494,90,-0.03225806451612903
1669021520.712,90,-0.03225806451612903
1669021521.589,90,-0.03225806451612903
1669021522.467,90,-0.03225806451612903
1669021523.686,90,-0.03225806451612903
1669021524.574,90,-0.03225806451612903
1669021525.49,90,-0.03225806451612903
1669021526.66,90,-0.03225806451612903
1669021527.592,90,-0.03225806451612903
1669021528.463,90,-0.03225806451612903
1669021529.684,90,-0.03225806451612903
1669021530.706,90,-0.03225806451612903
1669021531.486,90,-0.03225806451612903
1669021532.663,90,-0.03225806451612903
1669021533.582,90,-0.03225806451612903
1669021534.46,90,-0.03225806451612903
1669021535.825,90,-0.03225806451612903
1669021536.562,90,-0.03225806451612903
1669021537.58,90,-0.03225806451612903
1669021538.701,90,-0.03225806451612903
1669021539.63,90,-0.03225806451612903
1669021540.7,90,-0.03225806451612903
1669021541.675,90,-0.03225806451612903
1669021542.602,90,-0.03225806451612903
1669021543.479,90,-0.03225806451612903
1669021545.094,90,-0.03225806451612903
1669021545.576,90,-0.03225806451612903
1669021546.55,90,-0.03225806451612903
1669021547.672,90,-0.03225806451612903
1669021548.598,90,-0.03225806451612903
1669021549.475,90,-0.03225806451612903
1669021550.694,90,-0.03225806451612903
1669021551.613,90,-0.03225806451612903
1669021552.498,91,-0.021505376344086023
1669021553.668,91,-0.021505376344086023
1669021554.594,91,-0.021505376344086023
1669021555.472,91,-0.021505376344086023
1669021556.986,91,-0.021505376344086023
1669021557.568,91,-0.021505376344086023
1669021558.495,91,-0.021505376344086023
1669021559.665,92,-0.010752688172043012
1669021560.591,92,-0.010752688172043012
1669021561.468,93,0.0
1669021562.73,93,0.0
1669021563.663,94,0.010752688172043012
1669021564.491,93,0.0
1669021565.661,94,0.010752688172043012
1669021566.587,94,0.010752688172043012
1669021567.472,94,0.010752688172043012
1669021568.684,94,0.010752688172043012
1669021569.561,94,0.010752688172043012
1669021570.488,94,0.010752688172043012
1669021571.697,94,0.010752688172043012
1669021572.584,94,0.010752688172043012
1669021573.518,94,0.010752688172043012
1669021574.681,93,0.0
1669021575.607,93,0.0
1669021576.484,92,-0.010752688172043012
1669021577.703,92,-0.010752688172043012
1669021578.582,92,-0.010752688172043012
1669021579.458,92,-0.010752688172043012
1669021580.677,92,-0.010752688172043012
1669021581.603,88,-0.053763440860215055
1669021582.494,90,-0.03225806451612903
1669021583.7,89,-0.043010752688172046
1669021584.613,89,-0.043010752688172046
1669021585.506,91,-0.021505376344086023
1669021586.673,92,-0.010752688172043012
1669021587.6,93,0.0
1669021588.477,93,0.0
1669021589.696,92,-0.010752688172043012
1669021590.58,92,-0.010752688172043012
1669021591.5,92,-0.010752688172043012
1669021593.063,92,-0.010752688172043012
1669021593.596,92,-0.010752688172043012
1669021594.769,92,-0.010752688172043012
1669021595.695,92,-0.010752688172043012
1669021596.576,92,-0.010752688172043012
1669021597.496,92,-0.010752688172043012
1669021598.666,94,0.010752688172043012
1669021599.593,95,0.021505376344086023
1669021600.47,95,0.021505376344086023
1669021601.694,95,0.021505376344086023
1669021602.567,95,0.021505376344086023
1669021603.493,95,0.021505376344086023
1669021604.663,95,0.021505376344086023
1669021605.722,95,0.021505376344086023
1669021606.467,95,0.021505376344086023
1669021607.693,94,0.010752688172043012
1669021608.563,94,0.010752688172043012
1669021609.595,93,0.0
1669021610.661,93,0.0
1669021611.588,92,-0.010752688172043012
1669021612.463,92,-0.010752688172043012
1669021613.927,92,-0.010752688172043012
1669021614.561,92,-0.010752688172043012
1669021615.535,92,-0.010752688172043012
1669021616.705,92,-0.010752688172043012
1669021617.582,93,0.0
1669021618.839,93,0.0
1669021619.684,93,0.0
1669021620.605,93,0.0
1669021621.483,94,0.010752688172043012
1669021622.702,94,0.010752688172043012
1669021623.579,94,0.010752688172043012
1669021624.505,94,0.010752688172043012
