time,hr,hr_norm
1674112859.46,,
1674112860.46,,
1674112861.46,,
1674112862.46,,
1674112863.46,83.0,-0.09782608695652174
1674112864.46,83.0,-0.09782608695652174
1674112865.46,83.0,-0.09782608695652174
1674112866.46,83.0,-0.09782608695652174
1674112867.46,83.0,-0.09782608695652174
1674112868.46,83.0,-0.09782608695652174
1674112869.46,83.0,-0.09782608695652174
1674112870.46,84.0,-0.08695652173913043
1674112871.46,84.0,-0.08695652173913043
1674112872.46,83.0,-0.09782608695652174
1674112873.46,83.0,-0.09782608695652174
1674112874.46,82.0,-0.10869565217391304
1674112875.46,82.0,-0.10869565217391304
1674112876.46,81.0,-0.11956521739130435
1674112877.46,81.0,-0.11956521739130435
1674112878.46,80.0,-0.13043478260869565
1674112879.46,80.0,-0.13043478260869565
1674112880.46,80.0,-0.13043478260869565
1674112881.46,80.0,-0.13043478260869565
1674112882.46,80.0,-0.13043478260869565
1674112883.46,80.0,-0.13043478260869565
1674112884.46,81.0,-0.11956521739130435
1674112885.46,81.0,-0.11956521739130435
1674112886.46,82.0,-0.10869565217391304
1674112887.46,82.0,-0.10869565217391304
1674112888.46,82.0,-0.10869565217391304
1674112889.46,82.0,-0.10869565217391304
1674112890.46,82.0,-0.10869565217391304
1674112891.46,82.0,-0.10869565217391304
1674112892.46,81.0,-0.11956521739130435
1674112893.46,81.0,-0.11956521739130435
1674112894.46,81.0,-0.11956521739130435
1674112895.46,81.0,-0.11956521739130435
1674112896.46,80.0,-0.13043478260869565
1674112897.46,81.0,-0.11956521739130435
1674112898.46,81.0,-0.11956521739130435
1674112899.46,82.0,-0.10869565217391304
1674112900.46,83.0,-0.09782608695652174
1674112901.46,84.0,-0.08695652173913043
1674112902.46,85.0,-0.07608695652173914
1674112903.46,86.0,-0.06521739130434782
1674112904.46,87.0,-0.05434782608695652
1674112905.46,88.0,-0.043478260869565216
1674112906.46,89.0,-0.03260869565217391
1674112907.46,89.0,-0.03260869565217391
1674112908.46,89.0,-0.03260869565217391
1674112909.46,88.0,-0.043478260869565216
1674112910.46,88.0,-0.043478260869565216
1674112911.46,87.0,-0.05434782608695652
1674112912.46,88.0,-0.043478260869565216
1674112913.46,88.0,-0.043478260869565216
1674112914.46,88.0,-0.043478260869565216
1674112915.46,88.0,-0.043478260869565216
1674112916.46,88.0,-0.043478260869565216
1674112917.46,88.0,-0.043478260869565216
1674112918.46,88.0,-0.043478260869565216
